epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.65266,1.95295,3.82338,1.63448,0.00143,0.5303,0.05165,0.0172,1.72314,4.40714,1.18093,0.01,0.01,0.01
2,6.81505,3.62628,4.43667,2.7634,0.00044,0.04545,0.00068,0.00027,3.61285,1380.88,59.1487,0.00835,0.00835,0.00835
3,9.41691,3.82198,4.19637,2.62152,0,0,0,0,3.48401,578168,47959.8,0.0067,0.0067,0.0067
1,2.65524,1.8265,3.71138,1.58763,0.00143,0.5303,0.05165,0.0172,1.72314,4.40714,1.18093,0.01,0.01,0.01
2,5.18269,3.86325,5.1106,2.79854,0.00013,0.05556,7e-05,2e-05,3.74028,3517.9,55.1885,0.00835,0.00835,0.00835
3,8.32677,3.76361,4.71421,2.72181,0,0,0,0,2.96023,289003,23033.9,0.0067,0.0067,0.0067
